Model,Train_R2,Train_RMSE,Train_MAE,Test_R2,Test_RMSE,Test_MAE
LinearRegression,0.951754158775231,5.845383099038679,3.8453200352597827,0.9408368127235746,6.785850729499921,4.637217343749126
RandomForestRegressor,0.9942100578942592,2.024977250461707,1.2311773154656094,0.9586322052867033,5.674266192054931,3.410319765856551
GradientBoostingRegressor,0.9837039079922559,3.3972286026387915,2.5146859715961245,0.9608532741015976,5.5198368735637375,3.6501890908189596
Ridge,0.9493474964197315,5.989402449530044,3.860492866044496,0.9430313564751854,6.6588075019600215,4.524046336230167
Lasso,0.9483774817462527,6.046480145918248,3.9928308125451406,0.9417709134820554,6.732068236710477,4.620269936400008
ElasticNet,0.9472701168883739,6.110988159231363,3.969290035832959,0.9428276453690468,6.670702313618361,4.556652343941228
XGBRegressor,0.9994457140336062,0.6265416976222508,0.39493794493796336,0.9629161090163021,5.372434986731182,3.074765006164294
LGBMRegressor,0.9993235918918606,0.6921296277809056,0.3788579245688761,0.9692908059293208,4.888917744118709,2.870326715818375
CatBoostRegressor,0.9975823097705724,1.3085290408763706,0.9736818811753374,0.9707237111203022,4.773495667789391,2.657183398098682
